Couleur,Code,Quantité
Jade White,10100,6
Black,10101,12
Silver,10102,0
Gray,10103,8
Light Gray,10104,5
Dark Gray,10105,3
Red,10200,10
Beige,10201,0
Magenta,10202,4
Pink,10203,7
Hot Pink,10204,2
Maroon Red,10205,1
Orange,10300,9
Pumpkin Orange,10301,0
Yellow,10400,6
Gold,10401,3
Sunflower Yellow,10402,5
Bambu Green,10501,8
Mistletoe Green,10502,4
Bright Green,10503,0
Blue,10601,7
Blue Grey,10602,2
Cyan,10603,5
Cobalt Blue,10604,1
Turquoise,10605,6
Purple,10700,4
Indigo Purple,10701,0
Brown,10800,3
Bronze,10801,2
Cocoa Brown,10802,5
